C:\Users\PC\Desktop\dataself\IMG\center_2024_06_06_19_13_45_599.jpg, C:\Users\PC\Desktop\dataself\IMG\left_2024_06_06_19_13_45_599.jpg, C:\Users\PC\Desktop\dataself\IMG\right_2024_06_06_19_13_45_599.jpg, 0, 0, 0, 7.891317E-05
C:\Users\PC\Desktop\dataself\IMG\center_2024_06_06_19_13_45_699.jpg, C:\Users\PC\Desktop\dataself\IMG\left_2024_06_06_19_13_45_699.jpg, C:\Users\PC\Desktop\dataself\IMG\right_2024_06_06_19_13_45_699.jpg, 0, 0, 0, 8.043969E-05
C:\Users\PC\Desktop\dataself\IMG\center_2024_06_06_19_13_45_801.jpg, C:\Users\PC\Desktop\dataself\IMG\left_2024_06_06_19_13_45_801.jpg, C:\Users\PC\Desktop\dataself\IMG\right_2024_06_06_19_13_45_801.jpg, 0, 0, 0, 7.842027E-05
C:\Users\PC\Desktop\dataself\IMG\center_2024_06_06_19_13_45_902.jpg, C:\Users\PC\Desktop\dataself\IMG\left_2024_06_06_19_13_45_902.jpg, C:\Users\PC\Desktop\dataself\IMG\right_2024_06_06_19_13_45_902.jpg, 0, 0, 0, 7.796087E-05
C:\Users\PC\Desktop\dataself\IMG\center_2024_06_06_19_13_46_004.jpg, C:\Users\PC\Desktop\dataself\IMG\left_2024_06_06_19_13_46_004.jpg, C:\Users\PC\Desktop\dataself\IMG\right_2024_06_06_19_13_46_004.jpg, 0, 0, 0, 7.792576E-05
C:\Users\PC\Desktop\dataself\IMG\center_2024_06_06_19_13_46_105.jpg, C:\Users\PC\Desktop\dataself\IMG\left_2024_06_06_19_13_46_105.jpg, C:\Users\PC\Desktop\dataself\IMG\right_2024_06_06_19_13_46_105.jpg, 0, 0, 0, 7.874311E-05
C:\Users\PC\Desktop\dataself\IMG\center_2024_06_06_19_13_46_206.jpg, C:\Users\PC\Desktop\dataself\IMG\left_2024_06_06_19_13_46_206.jpg, C:\Users\PC\Desktop\dataself\IMG\right_2024_06_06_19_13_46_206.jpg, 0, 0, 0, 7.87692E-05
C:\Users\PC\Desktop\dataself\IMG\center_2024_06_06_19_13_46_308.jpg, C:\Users\PC\Desktop\dataself\IMG\left_2024_06_06_19_13_46_308.jpg, C:\Users\PC\Desktop\dataself\IMG\right_2024_06_06_19_13_46_308.jpg, 0, 0, 0, 7.784897E-05
C:\Users\PC\Desktop\dataself\IMG\center_2024_06_06_19_13_46_411.jpg, C:\Users\PC\Desktop\dataself\IMG\left_2024_06_06_19_13_46_411.jpg, C:\Users\PC\Desktop\dataself\IMG\right_2024_06_06_19_13_46_411.jpg, 0, 0, 0, 7.838861E-05
C:\Users\PC\Desktop\dataself\IMG\center_2024_06_06_19_13_46_512.jpg, C:\Users\PC\Desktop\dataself\IMG\left_2024_06_06_19_13_46_512.jpg, C:\Users\PC\Desktop\dataself\IMG\right_2024_06_06_19_13_46_512.jpg, 0, 0, 0, 7.819234E-05
C:\Users\PC\Desktop\dataself\IMG\center_2024_06_06_19_13_46_614.jpg, C:\Users\PC\Desktop\dataself\IMG\left_2024_06_06_19_13_46_614.jpg, C:\Users\PC\Desktop\dataself\IMG\right_2024_06_06_19_13_46_614.jpg, 0, 0, 0, 7.800007E-05
C:\Users\PC\Desktop\dataself\IMG\center_2024_06_06_19_13_46_716.jpg, C:\Users\PC\Desktop\dataself\IMG\left_2024_06_06_19_13_46_716.jpg, C:\Users\PC\Desktop\dataself\IMG\right_2024_06_06_19_13_46_716.jpg, 0, 0, 0, 7.988151E-05
C:\Users\PC\Desktop\dataself\IMG\center_2024_06_06_19_13_46_816.jpg, C:\Users\PC\Desktop\dataself\IMG\left_2024_06_06_19_13_46_816.jpg, C:\Users\PC\Desktop\dataself\IMG\right_2024_06_06_19_13_46_816.jpg, 0, 0, 0, 7.955441E-05
C:\Users\PC\Desktop\dataself\IMG\center_2024_06_06_19_13_46_918.jpg, C:\Users\PC\Desktop\dataself\IMG\left_2024_06_06_19_13_46_918.jpg, C:\Users\PC\Desktop\dataself\IMG\right_2024_06_06_19_13_46_918.jpg, 0, 0, 0, 7.839001E-05
